'8189492a,Juan Carlos Ballesteros,2019-07-24 14:19:48,Modulo Plantilla añadido (descomentar para utilizar)'
'b02b1047,Juan Carlos Ballesteros,2019-07-24 14:03:58,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'c3840c37,Juan Carlos Ballesteros,2019-07-24 14:03:39,Scripts para el conjunto de datos plantilla'
'5ffb8d8b,Juan Carlos Ballesteros,2019-07-23 17:42:55,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'b24b82a1,Juan Carlos Ballesteros,2019-07-23 17:42:42,Demo para presentación tecnica'
'55001aec,Juan Carlos Ballesteros,2019-07-22 17:31:25,Carga probada con CENTOS'
'698b22ea,Juan Carlos Ballesteros,2019-07-22 16:42:50,Tags deprecated added to old files'
'57c48049,Juan Carlos Ballesteros,2019-07-22 16:31:43,Generando JSON y RDF a través de conexiones a BBDD: todos los datasets funcionando'
'ba68e3b9,Juan Carlos Ballesteros,2019-07-22 16:09:18,Generando JSON y RDF a través de conexiones a BBDD: todos los datasets funcionando'
'bee5e87e,Juan Carlos Ballesteros,2019-07-22 15:19:02,Generando JSON y RDF a través de conexiones a BBDD para conseguir cargar el SOLR de pruebas'
'2237fcf7,Juan Carlos Ballesteros,2019-07-22 11:57:34,Generando datos para todos los datasets (parte I)'
'4c9f8643,Juan Carlos Ballesteros,2019-07-12 16:06:45,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'16324fb4,Juan Carlos Ballesteros,2019-07-12 16:06:21,Parametro global para poder elegir si se quieren habilitar las operaciones de escritura: desactiva las peticiones que no son GET o HEAD, la documentación también se ajusta'
'96653603,Carlos Martinez de la Casa Garcia,2019-07-12 11:51:30,CORE - import and @SuppressWarnings'
'945926aa,Carlos Martinez de la Casa Garcia,2019-07-12 11:23:53,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'bbafbb1c,Carlos Martinez de la Casa Garcia,2019-07-12 11:23:36,import pmd'
'42835d49,Carlos Martinez de la Casa Garcia,2019-07-12 10:58:07,import pmd'
'ec234c13,Juan Carlos Ballesteros,2019-07-11 16:50:24,Nuevo test para validar RDF, URL de sensor calidad aire en RDF corregida'
'77514998,Juan Carlos Ballesteros,2019-07-11 16:29:51,Nuevo test para validar RDF, URL de sensor calidad aire en RDF corregida'
'f6aa05ea,Juan Carlos Ballesteros,2019-07-11 10:32:00,Actualizacion en visualización sparql'
'5ae8ec17,Juan Carlos Ballesteros,2019-07-10 17:19:40,Test para verificar las URLs generadas en RDF (falta generalizar)'
'a8f6eaf3,Juan Carlos Ballesteros,2019-07-10 12:59:56,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'68a65b72,Juan Carlos Ballesteros,2019-07-10 12:59:47,Punto de SPARQL (yasgui) - Actualizamos a la últimas versiones de las librerias'
'78676ff3,Juan Carlos Ballesteros,2019-07-10 12:03:36,Punto de SPARQL (yasgui)'
'84c3c783,Juan Carlos Ballesteros,2019-07-09 17:27:57,Ajuste perfiles empaquetado y actualizacion de la documentación'
'b7f7cc79,Juan Carlos Ballesteros,2019-07-09 16:54:46,Cambios en el readme principal'
'93a7297f,Juan Carlos Ballesteros,2019-07-09 11:44:41,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'7a320f2b,Juan Carlos Ballesteros,2019-07-09 11:44:25,URLs de RDF corregidas'
'db713a7a,Juan Carlos Ballesteros,2019-07-05 10:45:23,Documentación tramites'
'd51c45b1,Juan Carlos Ballesteros,2019-07-04 15:50:17,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'9cc4d410,Juan Carlos Ballesteros,2019-07-04 15:50:05,Corrección de errores en swagger'
'c4f9b552,Juan Carlos Ballesteros,2019-07-04 10:28:23,BigFiles: configuracion logs'
'06c40150,Juan Carlos Ballesteros,2019-07-04 10:26:52,BigData: refactorización de codigo JSON y RDF'
'bd9254b1,Juan Carlos Ballesteros,2019-07-04 10:26:22,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'304f21f6,Juan Carlos Ballesteros,2019-07-04 10:26:03,Cambio de contexto por defecto en API'
'7f0b7fd3,Juan Carlos Ballesteros,2019-07-03 17:09:55,Generador de ficheros en paths diferentes (refactorizacion)'
'ee990540,Juan Carlos Ballesteros,2019-07-03 17:04:57,Generador de ficheros en paths diferentes (refactorizacion)'
'3c857a05,Juan Carlos Ballesteros,2019-07-03 16:21:07,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'40e3babc,Juan Carlos Ballesteros,2019-07-03 16:20:44,Big Files: threads sin cerrar corregidos'
'1f5754f1,Juan Carlos Ballesteros,2019-07-03 16:20:19,Generación de RDF, CSV y JSON (log corregidos)'
'0fc686a2,Juan Carlos Ballesteros,2019-07-02 09:50:49,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'0495e161,Juan Carlos Ballesteros,2019-07-02 09:50:41,Subida inicial Generador de Fichero Grandes'
'de5ab7af,Juan Carlos Ballesteros,2019-06-28 14:47:24,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'be59913f,Juan Carlos Ballesteros,2019-06-28 14:47:00,Duplicamos con peticiones anonimas'
'd88cda30,Juan Carlos Ballesteros,2019-06-28 12:08:49,Tests en Tramites (datos RSQL)'
'a2ada5db,Juan Carlos Ballesteros,2019-06-28 12:03:20,Tests en Tramites (constructores y datos)'
'f36deb14,Juan Carlos Ballesteros,2019-06-28 12:02:46,Admitimos el formato datetime con espacio en lugar de T'
'7f9a2ce6,Juan Carlos Ballesteros,2019-06-28 10:56:17,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'541e353e,Juan Carlos Ballesteros,2019-06-28 10:56:07,Nuevos campos en dataset tramites'
'697b81d4,Juan Carlos Ballesteros,2019-06-28 10:55:00,Logos en la parte inferior de la documentación con Swagger'
'60baf1b8,Juan Carlos Ballesteros,2019-06-27 14:28:56,Logos en la parte inferior de la documentación con Swagger'
'a59881b2,Juan Carlos Ballesteros,2019-06-27 12:23:36,Widget departamento gasto global autoajustable'
'e18bd209,Juan Carlos Ballesteros,2019-06-27 12:12:20,Busqueda benficiarios paginación. Paginación arriba y abajo en ambas busquedas'
'2f3ff65f,Juan Carlos Ballesteros,2019-06-27 11:07:30,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'c0ac81fb,Juan Carlos Ballesteros,2019-06-27 11:07:21,Subvenciones: paginacion en busqueda subvenciones, widget importe tipo beneficiario autoajustable'
'32ab1aee,Juan Carlos Ballesteros,2019-06-26 15:00:46,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'8c5662f3,Juan Carlos Ballesteros,2019-06-26 14:57:25,Bug en API Filter'
'cc0b94d0,Carlos Martinez de la Casa Garcia,2019-06-24 15:44:25,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'556dd1fc,Carlos Martinez de la Casa Garcia,2019-06-24 15:41:36,import clean'
'1fb30777,Juan Carlos Ballesteros,2019-06-24 15:40:16,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'a0e96d36,Juan Carlos Ballesteros,2019-06-24 15:38:36,Control de URLs con más de 1 extension'
'c759ea5f,Juan Carlos Ballesteros,2019-06-24 14:45:38,Incidencia csv en groupby y distinct resuelta'
'd21007ab,Juan Carlos Ballesteros,2019-06-24 14:14:55,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'c0d7ba84,Juan Carlos Ballesteros,2019-06-24 14:13:49,Doc update'
'2e6de428,Juan Carlos Ballesteros,2019-06-24 14:13:11,Paginacion usando setPagina'
'e68d673c,Carlos Martinez de la Casa Garcia,2019-06-24 12:46:23,Corrección de Ejecución'
'ffdcabb5,Juan Carlos Ballesteros,2019-06-21 16:03:49,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'93cf310e,Juan Carlos Ballesteros,2019-06-21 16:03:39,CSV en groupbysearch'
'589372ca,Juan Carlos Ballesteros,2019-06-21 12:37:52,Numero de pagina y tamaño corregidos en paginacion'
'211f8ecb,Juan Carlos Ballesteros,2019-06-21 09:20:26,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
'8ede6598,Juan Carlos Ballesteros,2019-06-21 09:19:47,Combo paginacion'
'78b69cff,Carlos Martinez de la Casa Garcia,2019-06-19 16:02:40,Correción imports'
'b085512d,Carlos Martinez de la Casa Garcia,2019-06-18 13:37:17,Cambios PMD Organigrama I'
'459d51bb,Carlos Martinez de la Casa Garcia,2019-06-17 15:48:22,Merge branch 'master' of https://bitbucket.org/localidata/ciudadesabiertas'
